ID,Garment Layer,Colour
1,Bottom,Light Blue
2,Bottom,Dark Blue
3,Top,White
4,Bottom,Dark Blue
5,Bottom,Pink
6,Top,Black
7,Bottom,Pink
8,Bottom,Pink
9,Top,Orange
10,Bottom,Pink
11,Dress,Black
12,Top,Green
13,Bag,Pink
14,Bag,Blue
15,Bottom,Black
16,Shoe,Black
17,Top,Black
18,Dress,Pink
19,Bottom,Beige
20,Bottom,Red
21,Top,Beige
22,Top,Blue
23,Top,Blue
24,Bottom,Beige
25,Top,Blue
26,Top,Green
27,Bottom,Black
28,Top,White
29,Bottom,Pink
30,Top,Pink
31,Top,Pink
32,Top,Black
33,Top,Light Blue
34,Bottom ,Light Blue
35,Top,Beige
36,Bottom,Black
37,Top,Yellow
38,Top,Orange
39,Dress,Black
40,Bottoms,Black
41,Top,Black
42,Top,Light Blue
43,Bottom,Light Blue
44,Bottom,White
45,Bottom,Black
46,Top,Purple
47,Bottom,Brown
48,Top,Red
49,Bottom,Light Blue
50,Bottom,Black
51,Bottom,Black
52,Dress,Black
53,Bottom,Dark Blue
54,Dress,Light Blue
55,Top,Red
56,Bottom,Orange
57,Bottom,Black
58,Bottom,Yellow
59,Top,Red
60,Bottom,Black
61,Bottom,White
62,Top,Beige
63,Top,Purple
64,Top,Yellow
65,Top,Gold
66,Bottom,Black
67,Bottom,Black
68,Top,Purple
69,Shoe,Pink
70,Shoe,Purple
71,Bottom,Light Blue
72,Bottom,Dark Blue
73,Top,Light Blue
74,Bottom,Pink
75,Top,Pink
76,Dress,White
77,Top,White
78,Bottom,Grey
79,Top,Yellow
80,Bottom,Green
81,Top,White
82,Dress,Pink
